"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","chr","pos","strand","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_Island","chr_numeric","pos_mbp"
"cg01663570",0.489005239934579,-2.46334934457573,9.35823192958182,2.45245504093044e-17,7.47205862093232e-14,28.8206720653927,"chr3",183873429,"+","DVL3","1stExon","Island",3,183.873429
"cg17417193",0.421718892904397,-1.04655610217524,9.35786813940931,2.45822533605199e-17,7.48547614093057e-14,28.8183763376758,"chr6",45983110,"-","CLIC5;CLIC5","Body;Body","Island",6,45.98311
"cg23868672",0.543795441981173,-2.47920635886273,9.35622316916747,2.48448618581305e-17,7.55704097166345e-14,28.8079960130035,"chr14",35344258,"+","BAZ1A;BAZ1A","5'UTR;5'UTR","Island",14,35.344258
"cg03732087",0.529516624654761,-1.2169138884573,9.35573669276376,2.49230576590912e-17,7.57269335636621e-14,28.8049263045259,"chr1",50489654,"-","AGBL4","TSS200","Island",1,50.489654
"cg19036644",0.42644515818939,-2.46741165311462,9.35289360012747,2.53849726191225e-17,7.68444602265863e-14,28.7869872747309,"chr17",6554902,"-","MED31;C17orf100;MED31","5'UTR;TSS200;1stExon","Island",17,6.554902
"cg03330454",0.655552037971021,-1.95272623919692,9.35266421063086,2.54226103403405e-17,7.68742113915221e-14,28.7855399827326,"chr16",403022,"-","AXIN1;AXIN1","TSS1500;TSS1500","OpenSea",16,0.403022
"cg03370188",0.549717617287737,-2.20199839494447,9.3526321883252,2.54278689010647e-17,7.68742113915221e-14,28.7853379447249,"chr2",27603788,"-","ZNF513","TSS200","Island",2,27.603788
"cg15623503",0.663312627827584,-1.44775230743798,9.35185573481426,2.55557062074547e-17,7.72180777122887e-14,28.7804391496349,"chr8",12990913,"+","DLC1;DLC1","Body;TSS200","Island",8,12.990913
"cg05966498",0.693872819652049,0.855795404500882,9.35089734737877,2.57143790705325e-17,7.75026378656669e-14,28.7743926973924,"chr5",10761293,"-","DAP;DAP","1stExon;5'UTR","Island",5,10.761293
"cg27262702",1.09391866282044,0.188017050886922,9.34883405600725,2.60593146447013e-17,7.83508153602927e-14,28.7613761693574,"chr16",88878803,"-","APRT;APRT","TSS1500;TSS1500","Island",16,88.878803
"cg04977951",0.592427183937325,-3.38568727009385,9.34568041887136,2.65954410705813e-17,7.9743914965706e-14,28.7414830329525,"chr14",99947745,"+","SETD3;CCNK;CCNK;CCNK;SETD3;CCNK","TSS1500;1stExon;5'UTR;5'UTR;TSS1500;1stExon","Island",14,99.947745
"cg03631755",0.452838043718891,-2.68454621048834,9.3449226055744,2.67258970322205e-17,8.00912372614009e-14,28.7367031038584,"chr11",69590309,"+","FGF4","TSS200","Island",11,69.590309
"cg08640634",0.521855286492593,-0.808891675262081,9.33709030987768,2.81120471974532e-17,8.36957785495624e-14,28.6873087559358,"chr6",108486450,"-","NR2E1","TSS1500","Island",6,108.48645
"cg02118652",0.435159418973922,-2.33261718699045,9.33622073780494,2.82702849425102e-17,8.40298820518695e-14,28.6818257123212,"chr1",215741258,"-","KCTD3","Body","Island",1,215.741258
"cg17585279",0.665754770800667,-2.16300463511831,9.33473529461119,2.85426450899725e-17,8.47047492405063e-14,28.6724597450048,"chr16",30538052,"+","ZNF768","TSS200","Island",16,30.538052
"cg25552843",0.489856293696442,-2.01856229879488,9.33472946647405,2.85437188167626e-17,8.47047492405063e-14,28.6724229986737,"chr10",106088702,"+","ITPRIP","5'UTR","OpenSea",10,106.088702
"cg00970396",0.473871982826958,-1.69677950788578,9.32797970455129,2.98145844837396e-17,8.81560599039862e-14,28.6298713308878,"chr16",9107199,"-","","","OpenSea",16,9.107199
"cg23882285",0.608987183534075,-1.44519012420378,9.32491927031526,3.04091983278618e-17,8.96578178908758e-14,28.6105814462015,"chr18",18691931,"-","ROCK1","TSS200","Island",18,18.691931
"cg01409793",0.657314739112673,-2.28072086493978,9.32353225021039,3.06825517638954e-17,9.03179363084836e-14,28.6018398183632,"chr4",106394821,"+","PPA2;PPA2;PPA2;PPA2;PPA2","Body;Body;Body;Body;Body","Island",4,106.394821
"cg17069573",0.421599898159903,-2.47863580368637,9.3220055271995,3.09862630257592e-17,9.11140290400282e-14,28.5922182574243,"chr1",222885926,"+","AIDA;C1orf58;C1orf58","TSS200;5'UTR;1stExon","Island",1,222.885926
"cg18961681",0.41924777616439,-0.990506786974461,9.31940674328385,3.1510128913143e-17,9.24064340815318e-14,28.5758417584635,"chr7",32467657,"-","","","Island",7,32.467657
"cg14695240",0.690506166683935,-1.34199687378844,9.31242782163627,3.29609283346191e-17,9.61463386123457e-14,28.5318714753603,"chr11",100558265,"+","FLJ32810","TSS200","Island",11,100.558265
"cg00057700",0.435037618299982,-2.92342795860562,9.31159003224213,3.3139495753798e-17,9.66157699426783e-14,28.5265938269016,"chr10",124768526,"-","ACADSB;ACADSB;IKZF5","1stExon;5'UTR;TSS1500","Island",10,124.768526
"cg25481680",0.73900772351084,-0.169801945362247,9.30720944244945,3.40889600282018e-17,9.92011765936231e-14,28.4990011075956,"chr10",105110878,"-","PCGF6;PCGF6;PCGF6;PCGF6","5'UTR;5'UTR;1stExon;1stExon","Island",10,105.110878
"cg11387990",0.552065118789267,-2.53114990042184,9.30701832721653,3.41309931150147e-17,9.92423249752951e-14,28.4977974057606,"chr12",32260018,"+","BICD1;BICD1","TSS200;TSS200","Island",12,32.260018
"cg18222961",0.897791219400344,-0.412842354790512,9.30318616086695,3.49847836484895e-17,1.01401946476079e-13,28.473663132048,"chr2",48009935,"+","MSH6","TSS1500","Island",2,48.009935
"cg08621418",0.449981619005713,-1.8988670126231,9.30141679958837,3.53861225172014e-17,1.02294589956847e-13,28.4625212285466,"chr6",79944414,"+","HMGN3;HMGN3;HMGN3;HMGN3","5'UTR;5'UTR;1stExon;1stExon","Island",6,79.944414
"cg08522707",0.575836579440023,-3.57544944142178,9.30098242153363,3.54853489441446e-17,1.02527330664722e-13,28.4597860086751,"chr7",140714747,"+","MRPS33;MRPS33;MRPS33","5'UTR;1stExon;TSS1500","Island",7,140.714747
"cg12074093",0.690394355246338,-1.37974583054169,9.29995832137928,3.57203837796794e-17,1.03125624070519e-13,28.4533375704271,"chr17",16256568,"+","CENPV","1stExon","Island",17,16.256568
"cg16107907",0.529550393603122,-2.12642853766883,9.29825798534688,3.61140400990905e-17,1.04069354870906e-13,28.4426316509162,"chr7",102921442,"-","DPY19L2P2;DPY19L2P2","TSS1500;TSS1500","Island",7,102.921442
"cg22758697",0.623729530848119,-1.7727275170516,9.29795382396946,3.61849119509279e-17,1.04218762229355e-13,28.4407166171828,"chr10",51572216,"-","NCOA4;NCOA4;NCOA4;NCOA4","TSS200;5'UTR;Body;Body","Island",10,51.572216
"cg16036305",0.538052410214944,-1.45954930533836,9.29766341997517,3.62527072570559e-17,1.04359156241024e-13,28.4388882225099,"chr1",115053835,"-","TRIM33;TRIM33","TSS200;TSS200","Island",1,115.053835
"cg22684570",0.5214004831107,-3.12418682480489,9.29618774187014,3.65991629075572e-17,1.05190654997936e-13,28.4295976144605,"chr6",15249150,"+","JARID2","Body","S_Shelf",6,15.24915
"cg08741531",0.717342486494874,-2.36105638426822,9.29536325724962,3.67941643922447e-17,1.05610901195025e-13,28.4244070366259,"chr4",24585489,"+","DHX15","Body","Island",4,24.585489
"cg16655404",0.572537397364688,-2.35077838289611,9.29496459933916,3.68888223614768e-17,1.05801135096862e-13,28.4218973283738,"chr1",16161388,"-","FLJ37453","Body","Island",1,16.161388
"cg09900242",0.480240950069995,-1.62940078495365,9.2946109751786,3.6972990044164e-17,1.05987046520203e-13,28.4196711577465,"chr16",68676451,"+","","","Island",16,68.676451
"cg24374159",0.531237847892617,-3.68263418185321,9.29438903238481,3.70259131378537e-17,1.06083244349912e-13,28.418273976587,"chr10",45496476,"-","C10orf25;ZNF22","TSS200;5'UTR","Island",10,45.496476
"cg17180284",0.423387554937522,-0.551298748803302,9.2939684007221,3.71264210466819e-17,1.06315605979101e-13,28.4156260360916,"chr13",31783983,"+","B3GALTL","Body","OpenSea",13,31.783983
"cg20800509",0.411355381998639,-1.16731785671606,9.29296544674368,3.73671678187696e-17,1.06893256362398e-13,28.4093124620958,"chr8",104513083,"+","RIMS2;RIMS2","5'UTR;1stExon","Island",8,104.513083
"cg06610675",0.654202342830518,-1.75165456845695,9.2928609713614,3.73923349310166e-17,1.06909422524775e-13,28.4086548059116,"chr5",60241428,"+","NDUFAF2;ERCC8","Body;TSS1500","Island",5,60.241428
"cg17084299",0.568627233153541,-3.30096602303087,9.28944305625182,3.82250367557382e-17,1.09119367570797e-13,28.3871410360116,"chr6",3259239,"-","PSMG4;PSMG4;PSMG4;PSMG4;PSMG4;PSMG4","1stExon;5'UTR;1stExon;5'UTR;1stExon;5'UTR","Island",6,3.259239
"cg00720475",0.416682541267392,-2.50624533301051,9.28503634337609,3.93258985221581e-17,1.11970209249336e-13,28.359407580889,"chr8",16884576,"-","EFHA2","TSS200","Island",8,16.884576
"cg22721334",0.903123727448103,-1.45860261239179,9.28405164595702,3.95761667392985e-17,1.12449000826467e-13,28.3532110804946,"chr19",58609618,"+","ZSCAN18;ZSCAN18;ZSCAN18;ZSCAN18;ZSCAN18;ZSCAN18;ZSCAN18","1stExon;Body;5'UTR;1stExon;1stExon;5'UTR;5'UTR","Island",19,58.609618
"cg16406833",0.547315641786416,-2.55094250448311,9.27849671031553,4.10179445297935e-17,1.16063975912298e-13,28.3182594533404,"chr1",3568710,"-","TP73","TSS1500","Island",1,3.56871
"cg18646088",0.572018083541775,-2.08021760338016,9.27286584510405,4.25327185420884e-17,1.1973171673819e-13,28.2828378071252,"chr12",69139829,"-","SLC35E3","TSS200","Island",12,69.139829
"cg24403033",0.50404977851955,-1.49316957837765,9.27171800497832,4.28482590820867e-17,1.20558027332051e-13,28.2756181345901,"chr2",112812772,"+","TMEM87B","TSS200","N_Shore",2,112.812772
"cg22017581",0.497221807717594,-0.808181984578357,9.2703789351153,4.321931060159e-17,1.21477235309564e-13,28.2671960768897,"chr1",239550177,"-","","","Island",1,239.550177
"cg25466588",0.477551105020839,-3.26880426114941,9.26934552387303,4.35078474420087e-17,1.2197531292383e-13,28.2606967556849,"chr3",23958904,"-","NKIRAS1;RPL15","TSS1500;5'UTR","Island",3,23.958904
"cg21193451",0.564334055004969,-2.0966505768184,9.26845638446636,4.37576344756686e-17,1.22487540360773e-13,28.2551049980887,"chr9",128509870,"+","PBX3;PBX3;PBX3;PBX3","1stExon;Body;TSS1500;Body","Island",9,128.50987
"cg07333223",0.510762089756246,-3.05716787278691,9.26739867799859,4.4056634512871e-17,1.23261524320862e-13,28.2484533833956,"chr18",2571349,"-","NDC80;METTL4;METTL4","TSS200;1stExon;5'UTR","Island",18,2.571349
"cg13434975",0.503264652592561,-1.02811190302892,9.26541610330329,4.46225648961004e-17,1.24653891044983e-13,28.2359862783438,"chr2",11622769,"+","","","Island",2,11.622769
"cg21030939",0.650000971395915,-2.43263970880184,9.26509089184225,4.4716084703062e-17,1.24851472962355e-13,28.2339413303763,"chr6",137540666,"-","IFNGR1","TSS200","Island",6,137.540666
"cg15462174",0.499989310367359,-2.82573977515668,9.26428418783362,4.49489074135216e-17,1.25373733681929e-13,28.2288688427336,"chr10",31608663,"+","ZEB1;ZEB1;LOC220930;ZEB1;ZEB1;ZEB1","TSS1500;Body;TSS1500;Body;Body;Body","Island",10,31.608663
"cg01460436",0.404272477575723,-1.43198520830998,9.2624191430438,4.54918015168515e-17,1.26501540066593e-13,28.2171422108137,"chr20",44687454,"+","SLC12A5;SLC12A5","3'UTR;3'UTR","Island",20,44.687454
"cg18406033",0.499940855168222,-2.14821298811448,9.26069152156733,4.60005066578643e-17,1.27450169824648e-13,28.2062804056943,"chr2",223159869,"-","PAX3;PAX3;PAX3;PAX3;PAX3;PAX3;PAX3;PAX3","Body;Body;Body;Body;Body;Body;Body;Body","Island",2,223.159869
"cg21208157",0.577958571205722,-0.0521224473960529,9.25962717017594,4.63167201664167e-17,1.28144954461407e-13,28.1995890419526,"chr19",49120043,"+","RPL18","Body","N_Shelf",19,49.120043
"cg26186754",0.489164629367464,-1.89816245483687,9.25968463598752,4.62995923093118e-17,1.28144954461407e-13,28.199950310841,"chr15",80987697,"+","FAM108C1;FAM108C1","5'UTR;1stExon","Island",15,80.987697
"cg06007323",0.419231133864424,-2.18264830161572,9.25773838394601,4.6883197961537e-17,1.29450717904416e-13,28.1877153105622,"chr4",6784769,"-","KIAA0232;KIAA0232","5'UTR;5'UTR","Island",4,6.784769
"cg03967192",0.572592300661817,-1.16381391819829,9.25506195437207,4.76977159709802e-17,1.31500867949768e-13,28.1708916205505,"chr2",10861604,"+","ATP6V1C2;ATP6V1C2","TSS200;TSS200","Island",2,10.861604
"cg17974378",0.460347214738007,-2.74182221180277,9.25439807033081,4.79019237355096e-17,1.31997430814866e-13,28.1667188055533,"chr4",156589039,"-","GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3;GUCY1A3","5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;1stExon;5'UTR;5'UTR","Island",4,156.589039
"cg06613012",0.571574488604222,-1.96924230291719,9.2518253154759,4.87015347274031e-17,1.33864139899072e-13,28.1505488942396,"chr11",126225376,"+","ST3GAL4","TSS1500","Island",11,126.225376
"cg16656979",0.404375500729679,-0.668773832339624,9.24855340439595,4.97376367044346e-17,1.36438200953294e-13,28.129987113786,"chr15",37403242,"+","","","Island",15,37.403242
"cg03701992",0.44441492329276,-1.56980641497654,9.24658273783548,5.03722216074008e-17,1.37833865352543e-13,28.1176040681289,"chr21",40984886,"-","C21orf88;C21orf88","TSS200;TSS200","OpenSea",21,40.984886
"cg00401091",0.431909529650171,-2.94753342270871,9.24641520392412,5.04265398451035e-17,1.37913608813086e-13,28.1165513824111,"chr20",50159536,"-","NFATC2;NFATC2;NFATC2","TSS1500;Body;TSS1500","S_Shore",20,50.159536
"cg05497616",0.405468010267924,-3.00689646987996,9.24369553989104,5.13165043611657e-17,1.39928452589698e-13,28.0994635686014,"chr5",110560372,"-","CAMK4","Body","Island",5,110.560372
"cg04515996",0.529753880633529,-1.95635736620296,9.2423472849424,5.17634693852561e-17,1.40964438614423e-13,28.0909930818438,"chr6",85474028,"+","TBX18","TSS200","Island",6,85.474028
"cg02055615",0.607063457310335,-1.11546754247904,9.24141202143225,5.20757932767933e-17,1.41646331569479e-13,28.0851175020056,"chr6",7108063,"-","RREB1;RREB1;RREB1;RREB1","TSS200;TSS200;5'UTR;TSS200","Island",6,7.108063
"cg03613525",0.71053054098077,-2.5866680227677,9.23983870601051,5.26054212141492e-17,1.42803300075874e-13,28.0752339967949,"chr18",52613564,"-","CCDC68;CCDC68","5'UTR;5'UTR","OpenSea",18,52.613564
"cg18723560",0.521789253130507,-0.163656896833011,9.23930292531997,5.27870014113239e-17,1.43083508966137e-13,28.0718683841387,"chr19",51228831,"+","CLEC11A","3'UTR","Island",19,51.228831
"cg03584891",0.456673534025616,-2.18703152875084,9.2363668193887,5.37931887171991e-17,1.45431954074904e-13,28.0534259200617,"chr4",156680256,"+","GUCY1B3;GUCY1B3","1stExon;5'UTR","Island",4,156.680256
"cg04875084",0.472821115578087,-2.41359323473019,9.23634891317935,5.37993831969344e-17,1.45431954074904e-13,28.0533134529671,"chr1",53527937,"-","PODN","1stExon","Island",1,53.527937
"cg14393469",0.516221569806451,-2.32141511386167,9.23631046070364,5.38126878548879e-17,1.45431954074904e-13,28.0530719371159,"chr7",89840897,"+","STEAP2;STEAP2","TSS200;TSS1500","Island",7,89.840897
"cg08573574",0.474599996410806,-2.64526238231011,9.23494277311103,5.42880443479689e-17,1.46355617619906e-13,28.0444818782578,"chr12",112856518,"-","PTPN11","TSS200","Island",12,112.856518
"cg03725852",0.455291787802749,-2.1612763170179,9.23397245882115,5.46278177079147e-17,1.47126805769847e-13,28.0383878911122,"chr11",107462173,"-","ELMOD1;LOC643923;ELMOD1","5'UTR;TSS1500;5'UTR","Island",11,107.462173
"cg06305048",0.410628561725756,-1.6482347205926,9.23357928053551,5.4766097350391e-17,1.47426747326531e-13,28.035918630721,"chr19",53466199,"-","ZNF816A","TSS200","Island",19,53.466199
"cg18991549",0.53504949996681,-1.87562820165422,9.23313781261683,5.49217750082208e-17,1.47773205559941e-13,28.0331461449523,"chr5",140346309,"-","PCDHAC2;PCDHAC2;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA6;PCDHA1;PCDHA2;PCDHA1;PCDHA9;PCDHA13;PCDHA5;PCDHAC1;PCDHA3;PCDHAC2;PCDHA10","1stExon;TSS200;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;5'UTR;Body","Island",5,140.346309
"cg04568492",0.60519704711991,-0.76079305044713,9.23010835862055,5.60020021936987e-17,1.50457981718241e-13,28.0141220226378,"chr1",229568252,"-","ACTA1","Body","Island",1,229.568252
"cg19459508",0.472714200449813,-1.95580590987341,9.22962541483387,5.6176148782892e-17,1.50777959256124e-13,28.0110894824205,"chr3",160282885,"+","KPNA4","Body","Island",3,160.282885
"ch.1.190144434F",0.435888383060065,-3.06560309471116,9.22954422592882,5.62054778150833e-17,1.50782802068373e-13,28.0105796801037,"chr1",191877811,"+","","","OpenSea",1,191.877811
"cg12213062",0.442817891973084,-1.14776082081612,9.22929531023367,5.62954921006367e-17,1.50950361177807e-13,28.0090166960236,"chr2",220299653,"+","SPEG","TSS200","Island",2,220.299653
"cg07088328",0.504897974731491,-2.03477253182587,9.22582655836238,5.75648958534971e-17,1.541278063206e-13,27.9872374207111,"chr8",38089161,"+","DDHD2;DDHD2;DDHD2;DDHD2;DDHD2","1stExon;5'UTR;5'UTR;TSS1500;1stExon","Island",8,38.089161
"cg20511268",0.628469952373609,-3.43326789415025,9.22198301994764,5.90047055479286e-17,1.57367523906431e-13,27.9631084801783,"chr1",45805845,"+","MUTYH;MUTYH;MUTYH;TOE1;MUTYH;MUTYH;TOE1;MUTYH","TSS1500;Body;Body;5'UTR;Body;TSS200;1stExon;TSS200","Island",1,45.805845
"cg22216413",0.534992097507734,-1.4765302190883,9.221320102822,5.92566322706079e-17,1.57885686059674e-13,27.9589471967144,"chr11",26353618,"-","ANO3","TSS200","Island",11,26.353618
"cg14287112",0.520658431963478,-1.88762195076573,9.22043203748093,5.95957977682574e-17,1.58635057603758e-13,27.9533727782985,"chr6",133562485,"+","EYA4;EYA4;EYA4","TSS200;TSS200;TSS200","Island",6,133.562485
"cg13529907",0.492346989813174,-4.21045683531087,9.21839491759843,6.03811118204674e-17,1.60647385639611e-13,27.9405864482579,"chr7",44621997,"+","TMED4","TSS200","Island",7,44.621997
"cg02657292",0.577267987180064,-1.20783790482371,9.21797923658189,6.05426168998794e-17,1.60921365136329e-13,27.9379774831309,"chr7",138720909,"-","ZC3HAV1L","TSS200","Island",7,138.720909
"cg07065111",0.604034246304279,-0.946672188573381,9.2157604714383,6.14119669863945e-17,1.62757658940776e-13,27.9240524386414,"chr2",5831213,"-","","","Island",2,5.831213
"cg10142275",0.620363501443785,-3.22403616524188,9.21584129417411,6.13800825739992e-17,1.62757658940776e-13,27.9245596632012,"chr6",3118938,"-","BPHL;BPHL;BPHL;BPHL;BPHL","Body;1stExon;Body;Body;5'UTR","Island",6,3.118938
"cg18893138",0.500954731726903,-2.37000462177385,9.21577630900862,6.14057177989994e-17,1.62757658940776e-13,27.9241518313943,"chr11",44748327,"-","","","Island",11,44.748327
"cg06280512",0.666785442558067,-2.46273803014194,9.21528973107731,6.15980005928568e-17,1.63092889927659e-13,27.9210982149214,"chr19",47217267,"-","PRKD2;PRKD2;PRKD2;PRKD2;PRKD2","Body;5'UTR;Body;Body;1stExon","Island",19,47.217267
"cg01172338",0.403596782486114,-2.58049098035542,9.2140490640493,6.20909922888534e-17,1.64105259826585e-13,27.9133124310418,"chr17",7297763,"+","PLSCR3","5'UTR","Island",17,7.297763
"cg19921847",0.586601036940763,0.373457452519643,9.21402602058446,6.21001858445494e-17,1.64105259826585e-13,27.9131678258375,"chr4",113444361,"-","","","Island",4,113.444361
"cg25798792",0.456090523139375,-1.65592993140115,9.21378951613365,6.21946212873985e-17,1.64275568546885e-13,27.9116836915141,"chr4",66535351,"-","EPHA5;EPHA5","1stExon;1stExon","Island",4,66.535351
"cg00577182",0.532727545480785,-1.05152651264195,9.21329385658968,6.23929998062945e-17,1.64720127179224e-13,27.9085733289832,"chr11",129245558,"-","BARX2","TSS1500","Island",11,129.245558
"cg07885289",0.548190090705864,-2.14075807079222,9.21315107777929,6.2450260961621e-17,1.64772803452064e-13,27.9076773748899,"chr17",35294595,"-","LHX1;LHX1","1stExon;5'UTR","Island",17,35.294595
"cg04924415",0.90397227228418,-0.517732602403426,9.21284883509857,6.25716471598236e-17,1.64873934387927e-13,27.905780782824,"chr12",100661456,"-","SCYL2;DEPDC4","TSS200;TSS1500","Island",12,100.661456
"cg18071147",0.476131254350757,-2.74322538103052,9.20923806878692,6.40400606782803e-17,1.68338294718333e-13,27.8831247667105,"chr15",29863572,"-","FAM189A1","TSS1500","Island",15,29.863572
"cg11733675",0.495000146155054,-0.855933597630587,9.2080150101401,6.45451754231408e-17,1.69443177253949e-13,27.8754513382308,"chr3",173115689,"-","NLGN1","TSS1500","Island",3,173.115689
"cg27395226",0.493973508270056,-0.0509016174618864,9.20799570820394,6.45531786476937e-17,1.69443177253949e-13,27.8753302415493,"chr7",104994322,"-","SRPK2","Body","OpenSea",7,104.994322
"cg08977266",0.650389270598461,-3.5461651793041,9.1977642638336,6.89373561834097e-17,1.79966193282146e-13,27.8111532901604,"chr5",131826611,"-","IRF1","TSS200","Island",5,131.826611
"cg19449172",0.482836019320588,-2.36907643142181,9.19772128800792,6.89563818071908e-17,1.79966193282146e-13,27.8108837789663,"chr3",63850039,"-","THOC7;ATXN7;ATXN7","TSS1500;TSS200;TSS200","Island",3,63.850039
"cg04830049",0.480540502053438,-2.39911178322662,9.19539202041833,6.99954055935464e-17,1.82417175123203e-13,27.7962771077372,"chr1",2574885,"+","","","S_Shore",1,2.574885
"cg20284218",0.643581188981279,-2.16628812099167,9.19322227549072,7.09772633144172e-17,1.84800191945976e-13,27.7826720228536,"chr11",62648405,"-","SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2","Body;1stExon;Body;Body;5'UTR;Body;Body","Island",11,62.648405
"cg24636629",0.614656922350484,-2.29424896642502,9.19305164337426,7.10550562337816e-17,1.84914850457534e-13,27.7816021482021,"chr4",40058917,"+","LOC344967;N4BP2","TSS200;5'UTR","Island",4,40.058917
"cg00373101",0.461899688098229,-1.49397344229083,9.19219106804432,7.14486946734675e-17,1.85586602998355e-13,27.776206396,"chr16",19125146,"-","ITPRIPL2;ITPRIPL2","TSS200;TSS200","Island",16,19.125146
"cg02554246",0.548193094526784,-1.59460253438636,9.19165669752758,7.16942127616048e-17,1.86047899148559e-13,27.7728560211887,"chr9",120177471,"+","ASTN2;ASTN2;ASTN2","TSS200;TSS200;TSS200","Island",9,120.177471
"cg15849440",0.449311138855659,-2.31312222429953,9.1913814738852,7.18209920397934e-17,1.8611240443865e-13,27.7711304631803,"chr12",26111697,"+","RASSF8;RASSF8","TSS1500;TSS1500","OpenSea",12,26.111697
"cg15044957",0.475448662989701,-1.26264309509415,9.19013667405215,7.23971864809297e-17,1.87428197590558e-13,27.763326233379,"chr11",30038672,"+","KCNA4","TSS200","Island",11,30.038672
"cg24337644",0.50318443478454,-2.12866107579921,9.18833654688091,7.32385668665204e-17,1.89337999443885e-13,27.7520410904062,"chr2",234262978,"-","DGKD","TSS200","OpenSea",2,234.262978
"cg13633754",0.671106832979677,-1.74524924497019,9.18671771548353,7.40035055788653e-17,1.90955073681681e-13,27.7418932049288,"chr9",95858523,"-","C9orf89;C9orf89","5'UTR;1stExon","Island",9,95.858523
"cg04192327",0.468237531515057,-2.85936901277144,9.18512963879931,7.47616267747027e-17,1.92820468495365e-13,27.7319387540502,"chr10",44806753,"+","","","S_Shore",10,44.806753
"cg00334798",1.04947077015647,-0.616540410475882,9.18473854640951,7.49495092208705e-17,1.93214075961479e-13,27.7294873897698,"chr11",72929553,"-","P2RY2;P2RY2;P2RY2;P2RY2","5'UTR;5'UTR;5'UTR;1stExon","Island",11,72.929553
"cg04203758",0.512029893119915,-2.59713684333209,9.18404034623659,7.52860950287423e-17,1.93928821672881e-13,27.7251111723725,"chr16",47178208,"+","NETO2","TSS1500","Island",16,47.178208
"cg08493294",0.542538129493663,-1.85737943101882,9.18211296771277,7.62230564995152e-17,1.96128000872436e-13,27.7130312840459,"chr2",25500416,"+","DNMT3A;DNMT3A","Body;Body","Island",2,25.500416
"cg01461410",0.470681631021322,-1.33584535953377,9.18129190670621,7.66257126921796e-17,1.969790236512e-13,27.707885551485,"chr6",85473773,"+","TBX18","1stExon","Island",6,85.473773
"cg15631966",0.616383904934587,-1.88516369697294,9.18020810261838,7.71604594115577e-17,1.98074830508308e-13,27.701093423772,"chr12",121163597,"+","ACADS;ACADS","1stExon;5'UTR","Island",12,121.163597
"cg26463088",0.450249444855557,-3.11205459119329,9.17841935709839,7.80511468807514e-17,1.99986413238902e-13,27.6898841265447,"chr22",31743738,"+","PATZ1;PATZ1;PATZ1;PATZ1","TSS1500;TSS1500;TSS1500;TSS1500","S_Shore",22,31.743738
"cg12749787",0.573202542124488,-1.98416838540241,9.17812434838676,7.81990219021448e-17,2.0027163333158e-13,27.6880355120413,"chr12",12878379,"+","APOLD1","TSS1500","Island",12,12.878379
"cg25942031",0.477515566124309,-3.49409606041853,9.17565265999469,7.94489616556602e-17,2.03187816090351e-13,27.6725480267285,"chr5",178487410,"-","ZNF354C","TSS200","Island",5,178.48741
"cg18205465",0.778319084210256,-1.05332730523988,9.17480760699669,7.98808462271716e-17,2.04006621539833e-13,27.6672533193688,"chr7",45026543,"-","C7orf40;SNORA9","TSS1500;TSS1500","Island",7,45.026543
"cg03954616",0.576400751873893,-1.79909688349693,9.17319941642127,8.07092062922843e-17,2.0564280533868e-13,27.6571776493634,"chr2",223725497,"+","ACSL3;ACSL3","TSS1500;TSS1500","N_Shore",2,223.725497
"cg11154838",0.509776274708876,-3.82316318156451,9.17036927387313,8.21877643075705e-17,2.09118300284286e-13,27.6394477755693,"chr11",17099346,"+","RPS13","TSS200","Island",11,17.099346
"cg07049833",0.547159361262845,-1.9626926452751,9.16965545325027,8.25649190271742e-17,2.09882963700394e-13,27.6349762554152,"chr1",222791172,"+","MIA3","TSS1500","Island",1,222.791172
"cg18530113",0.859583060540884,-0.855227838227069,9.16935697164047,8.27231345100955e-17,2.10187618233228e-13,27.6331065432462,"chr3",123752536,"+","","","Island",3,123.752536
"cg17360650",0.417472996829567,-1.45046391754255,9.16780032126986,8.3553161148413e-17,2.11707429610826e-13,27.6233559308153,"chr5",172386894,"-","RPL26L1;LOC100268168;LOC100268168","Body;TSS1500;TSS1500","Island",5,172.386894
"cg25760950",0.479445053637627,-3.81658885232187,9.16691277668311,8.40301113085385e-17,2.12817492907399e-13,27.6177967675288,"chr19",19643252,"+","YJEFN3","Body","Island",19,19.643252
"cg19585816",0.458213821158003,-1.53144607597807,9.16674616594644,8.411994604017e-17,2.12858926977184e-13,27.6167532183218,"chr8",41754742,"-","ANK1","TSS1500","Island",8,41.754742
"cg17261040",0.494608053263199,-2.08306367597698,9.16443707440169,8.5374856489344e-17,2.15459605388219e-13,27.602291188886,"chr6",143382000,"+","AIG1","TSS200","S_Shore",6,143.382
